Customer_ID,Age,Gender,Income_Level,Occupation,Nationality,Primary_Brand_Owned,Num_Luxury_Items,Primary_Item_Type,Years_Owning_Luxury,Purchase_Frequency,Resale_Experience,Sustainability_Importance,Brand_Loyalty,Heard_of_Restoration_Services,Used_Restoration_Before,Adoption_Likelihood,Services_Interested_In,WTP_Basic_Restoration_AED,WTP_Advanced_Restoration_AED,WTP_Authentication_AED,WTP_Annual_Membership_AED,Perceived_Value,Trust_Importance,Quality_Over_Price,Preferred_Channel,Digital_Certificate_Interest,Social_Media_Activity,Influencer_Impact,Awareness_Source,Primary_Pain_Point,NPS_Score,Visit_Frequency_Expected,Membership_Interest,Location_Preference,Has_Purchased
CUST0001,28,Female,High (250K-500K AED),Student,GCC National,Gucci,15,Handbags,1,Bi-annually,Yes - frequently,Important,Somewhat Loyal,Yes,Yes,Neutral,Full Service (incl. Resale),1432,2831,250,28835,Fair,Very Important,Strongly Agree,In-Person (Studio),Very Interested,Very Active,Low Impact,Online Search,High Costs,8,Quarterly,Very Interested,Downtown Dubai,0
CUST0002,45,Female,Low (<100K AED),Entrepreneur,UAE National,Chanel,10,Handbags,19,Bi-annually,No - never,Important,Very Loyal,Yes,No,Very Likely,Both Restoration & Authentication,1290,5294,254,9227,Too Expensive,Important,Agree,In-Person (Studio),Very Interested,Active,Medium Impact,Word of Mouth,Finding Trusted Services,1,Bi-annually,Maybe,Downtown Dubai,1
CUST0003,35,Female,Low (<100K AED),Corporate Executive,Western Expat,Hermès,3,Sneakers,20,Bi-annually,Yes - occasionally,Important,Somewhat Loyal,No,No,Likely,Restoration Only,852,1992,623,24022,Fair,Important,Agree,Hybrid (Both),Very Interested,Very Active,High Impact,Magazine/Press,High Costs,10,Annually,Interested,Dubai Mall,0
CUST0004,32,Female,Medium (100K-250K AED),Corporate Executive,GCC National,Bottega Veneta,19,Accessories,17,Bi-annually,No - never,Important,Somewhat Loyal,No,No,Likely,Full Service (incl. Resale),891,1837,399,14424,Good Value,Critical,Agree,Hybrid (Both),Not Interested,Active,Low Impact,Event/Exhibition,High Costs,8,Quarterly,Very Interested,Jumeirah,0
CUST0005,25,Female,High (250K-500K AED),Corporate Executive,Asian Expat,Balenciaga,3,Leather Goods,5,Annually,No - never,Important,Somewhat Loyal,No,No,Very Likely,Not Interested,575,3468,545,12643,Fair,Very Important,Strongly Agree,Social Media,Somewhat Interested,Active,Low Impact,Word of Mouth,High Costs,9,Bi-annually,Interested,Jumeirah,0
CUST0006,25,Female,High (250K-500K AED),Entrepreneur,Asian Expat,Prada,14,Handbags,3,Bi-annually,Yes - frequently,Very Important,Somewhat Loyal,Yes,Yes,Very Likely,Authentication Only,993,4470,595,13310,Excellent Value,Very Important,Strongly Agree,Mobile App,Very Interested,Somewhat Active,Low Impact,Online Search,Lack of Transparency,0,Quarterly,Very Interested,Downtown Dubai,1
CUST0007,22,Female,High (250K-500K AED),Professional,Western Expat,Bottega Veneta,8,Handbags,2,Bi-annually,Yes - once,Important,Somewhat Loyal,Yes,No,Likely,Both Restoration & Authentication,1187,5217,243,21951,Too Expensive,Very Important,Agree,Hybrid (Both),Very Interested,Active,Low Impact,Online Search,Lack of Transparency,3,Annually,Interested,Downtown Dubai,0
CUST0008,40,Female,High (250K-500K AED),Corporate Executive,GCC National,Balenciaga,4,Sneakers,3,Bi-annually,Yes - frequently,Very Important,Very Loyal,No,No,Neutral,Full Service (incl. Resale),1021,3365,369,29568,Good Value,Critical,Disagree,Hybrid (Both),Very Interested,Active,Medium Impact,Word of Mouth,Finding Trusted Services,4,Bi-annually,Maybe,Dubai Marina,0
CUST0009,32,Female,Medium (100K-250K AED),Corporate Executive,Other,Gucci,11,Handbags,8,Bi-annually,No - never,Important,Very Loyal,No,No,Very Likely,Full Service (incl. Resale),1474,4637,624,18233,Excellent Value,Very Important,Strongly Agree,Social Media,Very Interested,Very Active,Low Impact,Social Media,Lack of Transparency,8,As Needed,Maybe,Dubai Marina,1
CUST0010,35,Male,Very High (>500K AED),Business Owner,Western Expat,Louis Vuitton,11,Shoes,16,Annually,No - never,Slightly Important,Somewhat Loyal,No,No,Neutral,Authentication Only,616,2291,447,16200,Good Value,Critical,Agree,Online (Website),Somewhat Interested,Not Active,Medium Impact,Event/Exhibition,Limited Service Options,5,As Needed,Maybe,City Walk,0
